[2026-06-30T12:21:54.371Z] GET http://localhost:3000/assets/models/topography-4.obj → pending (?ms, ?B)
[2026-06-30T12:21:54.374Z] GET http://localhost:3000/assets/models/equipment/cluster_tool.glb → pending (?ms, ?B)
[2026-06-30T12:21:54.374Z] GET http://localhost:3000/_next/static/chunks/node_modules_howler_dist_howler_1bs99cq.js → pending (?ms, ?B)
[2026-06-30T12:21:54.374Z] GET http://localhost:3000/_next/static/chunks/node_modules_howler_dist_howler_04yzgzn.js → pending (?ms, ?B)
[2026-06-30T12:21:54.377Z] GET http://localhost:3000/assets/images/terrain-texture.png → pending (?ms, ?B)
[2026-06-30T12:21:56.397Z] GET http://localhost:3000/draco/draco_wasm_wrapper.js → 200 (524ms, ?B)
[2026-06-30T12:21:56.397Z] GET http://localhost:3000/draco/draco_decoder.wasm → 200 (527ms, ?B)
[2026-06-30T12:21:56.397Z] GET blob:http://localhost:3000/7deab793-0236-4bcf-9804-2b187e52904a → 200 (527ms, ?B)
[2026-06-30T12:21:56.398Z] GET blob:http://localhost:3000/7fd23efb-adec-4484-9cfe-d8422c67e3fa → 200 (526ms, ?B)
[2026-06-30T12:21:56.398Z] GET blob:http://localhost:3000/84e2486c-feba-4a39-a488-c241b545a8ba → 200 (526ms, ?B)
[2026-06-30T12:21:56.893Z] GET http://localhost:3000/assets/audio/music-main.mp3 → pending (?ms, ?B)
[2026-06-30T12:21:56.894Z] GET http://localhost:3000/assets/audio/music-light.mp3 → pending (?ms, ?B)
[2026-06-30T12:21:56.894Z] GET http://localhost:3000/assets/audio/sfx-hotspot.mp3 → pending (?ms, ?B)
[2026-06-30T12:21:56.894Z] GET http://localhost:3000/assets/audio/sfx-loading.mp3 → pending (?ms, ?B)
[2026-06-30T12:21:56.895Z] GET http://localhost:3000/assets/audio/sfx-click.mp3 → pending (?ms, ?B)
[2026-06-30T12:21:56.895Z] GET http://localhost:3000/assets/audio/sfx-valid.mp3 → pending (?ms, ?B)
[2026-06-30T12:21:56.896Z] GET http://localhost:3000/assets/audio/sfx-decor-change.mp3 → pending (?ms, ?B)
[2026-06-30T12:21:56.897Z] GET http://localhost:3000/assets/audio/sfx-zoom-home.mp3 → pending (?ms, ?B)
[2026-06-30T12:21:56.911Z] GET blob:http://localhost:3000/121c3954-50f5-4078-85a6-2488e990a5d1 → pending (?ms, ?B)
[2026-06-30T12:21:56.911Z] GET blob:http://localhost:3000/69d5c8b1-2e22-4960-a73a-4355c3adb70c → pending (?ms, ?B)
[2026-06-30T12:21:56.911Z] GET blob:http://localhost:3000/bd285e4c-b8d2-4ac3-a54c-fec4f320998a → pending (?ms, ?B)
[2026-06-30T12:21:56.911Z] GET blob:http://localhost:3000/9ef13b41-fa88-4d3a-bbaf-c56c1501182d → pending (?ms, ?B)
[2026-06-30T12:21:56.920Z] GET blob:http://localhost:3000/0ce6614f-a3ac-4123-b733-eee0dbad9779 → pending (?ms, ?B)
[2026-06-30T12:21:56.920Z] GET blob:http://localhost:3000/b1202aa7-9d64-4cde-a9e5-f6ed8cce5a80 → pending (?ms, ?B)
[2026-06-30T12:21:56.921Z] GET blob:http://localhost:3000/07672e05-d017-492e-b98b-e5fb491a93c7 → pending (?ms, ?B)
[2026-06-30T12:21:56.931Z] GET blob:http://localhost:3000/f8109f32-1a1a-4640-98eb-0603b9ace203 → pending (?ms, ?B)
[2026-06-30T12:21:56.931Z] GET blob:http://localhost:3000/0e697b76-322b-4635-89ae-8c57cae75899 → pending (?ms, ?B)
[2026-06-30T12:21:56.931Z] GET blob:http://localhost:3000/2d2423d4-64fe-4b7c-b173-64b132c641ac → pending (?ms, ?B)
[2026-06-30T12:21:56.931Z] GET blob:http://localhost:3000/382c513f-e0f3-4f2e-9dec-5b35195e7614 → pending (?ms, ?B)
[2026-06-30T12:21:57.784Z] GET blob:http://localhost:3000/880dab54-3d9a-4ec2-8956-47d14763e735 → pending (?ms, ?B)
[2026-06-30T12:21:57.784Z] GET blob:http://localhost:3000/880dab54-3d9a-4ec2-8956-47d14763e735 → pending (?ms, ?B)
[2026-06-30T12:21:57.784Z] GET blob:http://localhost:3000/880dab54-3d9a-4ec2-8956-47d14763e735 → pending (?ms, ?B)
[2026-06-30T12:21:57.784Z] GET blob:http://localhost:3000/880dab54-3d9a-4ec2-8956-47d14763e735 → pending (?ms, ?B)
[2026-06-30T12:23:48.480Z] GET http://localhost:3000/?_rsc=q3mOO9BClNZHexY7 → pending (?ms, ?B)
[2026-06-30T12:23:50.233Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → pending (?ms, ?B)
[2026-06-30T12:23:59.392Z] GET http://localhost:3000/?_rsc=q3mOO9BClNZHexY7 → pending (?ms, ?B)
[2026-06-30T12:25:47.173Z] GET http://localhost:3000/ → pending (?ms, ?B)
